Order ID,Bill Number,Date Time,Type,Customer Name,Customer Phone,Table,Payment Method,Subtotal,Tax,Discount,Total Amount,Status,Items Summary
"6ab9a745-b2c2-4080-b687-d7d0a036b1be","100936","2026-09-26T06:33:06.009Z","dine-in","Walk-in Guest","","","upi","199","10","0","209","completed","Item (1)"
"6c437d4f-a42e-4012-83cd-c59259e29e5c","100935","2026-09-26T06:13:42.412Z","dine-in","Walk-in Guest","","","upi","438","22","0","460","completed","Item (1) | Item (1) | Item (1)"
"4d28874b-8f07-4a66-b3a6-1e563696ca36","100933","2026-09-25T18:31:40.969Z","dine-in","Walk-in Guest","","","upi","737","37","0","774","completed","Item (1) | Item (1) | Item (1) | Item (1)"
"0512b670-2996-4223-8baf-44cc7c97b41e","100916","2026-09-25T17:32:57.233Z","delivery","Mohamed Niyaamath A H","8248418799","","upi","199","0","0","179","completed","Item (1)"
"2d73dd91-952e-42f8-807c-d13af15f6929","100932","2026-09-25T17:02:56.848Z","takeaway","Walk-in Guest","","","cash","518","26","0","544","completed","Item (1) | Item (1) | Item (1)"
"ebdb3a2e-07ef-49d2-9204-19d882c84f0a","100931","2026-09-25T16:54:56.106Z","dine-in","Walk-in Guest","","","upi","350","18","0","368","completed","Item (1) | Item (1) | Item (1)"
"f36a02d6-ae35-4910-9460-309b92588ca1","100930","2026-09-25T16:38:55.615Z","dine-in","Walk-in Guest","","","upi","59","3","0","62","completed","Item (1)"
"5a6f3057-381f-4580-ac67-4ba067be040d","100929","2026-09-25T16:09:14.817Z","dine-in","Walk-in Guest","","","upi","837","42","0","879","completed","Item (1) | Item (1) | Item (1) | Item (2)"
"43ea6502-c983-40d4-9720-66974c01dc4d","100928","2026-09-25T15:43:36.071Z","dine-in","Walk-in Guest","","","upi","869","43","0","912","completed","Item (1) | Item (1) | Item (1)"
"480b62af-7404-4e1b-bdb9-4fbec91feaa0","100927","2026-09-25T15:27:06.190Z","dine-in","Walk-in Guest","","","upi","689","34","0","723","completed","Item (1) | Item (1)"
"da635a2c-f5e0-49b7-8c5e-05aaa5807bdd","100926","2026-09-25T14:53:05.159Z","dine-in","Walk-in Guest","","","upi","439","22","0","461","completed","Item (1) | Item (1) | Item (1)"
"2eae489d-488b-4a5b-bf6c-ee6a08309938","100925","2026-09-25T14:42:12.436Z","dine-in","Walk-in Guest","","","upi","799","40","0","839","completed","Item (1)"
"444983c7-d2ad-47b0-85df-55f7f8e9f401","100924","2026-09-25T11:17:34.493Z","dine-in","Walk-in Guest","","","cash","30137","1507","7534","31644","cancelled","Item (29)"
"ef70284c-6608-4d75-b893-105dd1496605","100923","2026-09-25T10:27:48.599Z","dine-in","Walk-in Guest","","","upi","357","18","0","375","completed","Item (1) | Item (1) | Item (1)"
"98135bc7-1ae9-4ba6-9474-0fce0b64d30e","100922","2026-09-25T09:30:07.412Z","dine-in","Walk-in Guest","","","upi","757","38","0","795","completed","Item (1) | Item (1) | Item (1)"
"c9e8768c-42c8-4bda-8d48-30416e0b6c87","100921","2026-09-25T09:27:19.303Z","delivery","Walk-in Guest","","","split","498","25","0","523","completed","Item (1) | Item (1) | Item (1)"
"2f550823-5dbd-4a74-8803-09cfabf974fe","100920","2026-09-25T09:04:07.111Z","takeaway","Walk-in Guest","","","cash","14.3","1","0","15","completed","Item (1)"
"ORD-20260925-100919","100919","2026-09-25T13:57:00.000+05:30","dine-in","Walk-in Guest","","T1","upi","366","0","0","366","completed","Item (1)"
"3ca777e5-9f62-47f9-8ccf-feef147618f2","100918","2026-09-25T08:08:24.514Z","dine-in","Walk-in Guest","","","upi","157.15","8","0","165","completed","Item (1) | Item (1)"
"ORD-20260925-100917","100917","2026-09-25T12:57:00.000+05:30","dine-in","Walk-in Guest","","T2","upi","618","0","0","618","completed","Item (1) | Item (1) | Item (1)"
"ORD-20260925-100916","100916","2026-09-25T12:22:00.000+05:30","delivery","Walk-in Guest","","Delivery","upi","418","0","0","418","completed","Item (1) | Item (1)"
"6c5ac816-fb27-4c5d-88a4-4b6dfa2c7d6e","100915","2026-09-24T18:04:25.052Z","dine-in","Walk-in Guest","","","upi","679","34","0","713","completed","Item (1) | Item (1) | Item (1) | Item (1)"
